month,editor_type,total.content,total.non-content
2006--0-5-T00:00:00.000Z,user,102873,36681
2006--0-5-T00:00:00.000Z,group-bot,,44
2006--0-5-T00:00:00.000Z,name-bot,31428,496
2006--0-6-T00:00:00.000Z,anonymous,37605,2739
2006--0-6-T00:00:00.000Z,user,111821,39928
2006--0-6-T00:00:00.000Z,group-bot,586,30
2006--0-6-T00:00:00.000Z,name-bot,63032,1740
2006--0-7-T00:00:00.000Z,anonymous,36601,2737
2006--0-7-T00:00:00.000Z,user,118204,42739
2006--0-7-T00:00:00.000Z,group-bot,347,6
2006--0-7-T00:00:00.000Z,name-bot,50256,1732
2006--0-8-T00:00:00.000Z,anonymous,41893,3032
2006--0-8-T00:00:00.000Z,user,143782,48492
2006--0-8-T00:00:00.000Z,group-bot,1,
2006--0-8-T00:00:00.000Z,name-bot,168111,3627
2006--0-9-T00:00:00.000Z,anonymous,45264,3003
2006--0-9-T00:00:00.000Z,user,127681,47177
2006--0-9-T00:00:00.000Z,group-bot,22,504
2006--0-9-T00:00:00.000Z,name-bot,59798,5865
2006--1-0-T00:00:00.000Z,anonymous,47707,3056
2006--1-0-T00:00:00.000Z,user,122089,38901
2006--1-0-T00:00:00.000Z,group-bot,76,1488
2006--1-0-T00:00:00.000Z,name-bot,38748,5987
2006--1-1-T00:00:00.000Z,anonymous,55653,3469
2006--1-1-T00:00:00.000Z,user,132186,44885
2006--1-1-T00:00:00.000Z,group-bot,51390,12129
2006--1-1-T00:00:00.000Z,name-bot,36852,5529
2006--1-2-T00:00:00.000Z,anonymous,55631,3278
2006--1-2-T00:00:00.000Z,user,144342,44556
2006--1-2-T00:00:00.000Z,group-bot,5029,543
2006--1-2-T00:00:00.000Z,name-bot,58613,7753
2007--0-1-T00:00:00.000Z,anonymous,64637,4158
2007--0-1-T00:00:00.000Z,user,154624,51977
2007--0-1-T00:00:00.000Z,group-bot,37417,556
2007--0-1-T00:00:00.000Z,name-bot,94594,4715
2007--0-2-T00:00:00.000Z,anonymous,63232,4100
2007--0-2-T00:00:00.000Z,user,154203,56423
2007--0-2-T00:00:00.000Z,group-bot,349,58
2007--0-2-T00:00:00.000Z,name-bot,64425,7542
2007--0-3-T00:00:00.000Z,anonymous,67703,4104
2007--0-3-T00:00:00.000Z,user,156288,56337
2007--0-3-T00:00:00.000Z,group-bot,2334,1345
2007--0-3-T00:00:00.000Z,name-bot,63659,9250
2007--0-4-T00:00:00.000Z,anonymous,62573,3772
2007--0-4-T00:00:00.000Z,user,159106,55466
2007--0-4-T00:00:00.000Z,group-bot,3432,306
2007--0-4-T00:00:00.000Z,name-bot,87775,10239
2007--0-5-T00:00:00.000Z,anonymous,66518,3873
2007--0-5-T00:00:00.000Z,user,181305,58159
2007--0-5-T00:00:00.000Z,group-bot,3169,205
2007--0-5-T00:00:00.000Z,name-bot,60894,5666
2007--0-6-T00:00:00.000Z,anonymous,59402,3859
2007--0-6-T00:00:00.000Z,user,185471,62931
2007--0-6-T00:00:00.000Z,group-bot,801,483
2007--0-6-T00:00:00.000Z,name-bot,43150,2676
2007--0-7-T00:00:00.000Z,anonymous,64844,3673
2007--0-7-T00:00:00.000Z,user,174944,55763
2007--0-7-T00:00:00.000Z,group-bot,9272,819
2007--0-7-T00:00:00.000Z,name-bot,42320,2011
2007--0-8-T00:00:00.000Z,anonymous,58855,3326
2007--0-8-T00:00:00.000Z,user,171031,55943
2007--0-8-T00:00:00.000Z,group-bot,2631,11485
2007--0-8-T00:00:00.000Z,name-bot,45966,7535
2007--0-9-T00:00:00.000Z,anonymous,61142,3200
2007--0-9-T00:00:00.000Z,user,158963,53099
2007--0-9-T00:00:00.000Z,group-bot,4431,1194
2007--0-9-T00:00:00.000Z,name-bot,63913,5962
2007--1-0-T00:00:00.000Z,anonymous,61704,3600
2007--1-0-T00:00:00.000Z,user,148344,44726
2007--1-0-T00:00:00.000Z,group-bot,3555,498
2007--1-0-T00:00:00.000Z,name-bot,70183,4113
2007--1-1-T00:00:00.000Z,anonymous,62693,3130
2007--1-1-T00:00:00.000Z,user,146706,44558
2007--1-1-T00:00:00.000Z,group-bot,5275,250
2007--1-1-T00:00:00.000Z,name-bot,47365,7031
2007--1-2-T00:00:00.000Z,anonymous,57179,3191
2007--1-2-T00:00:00.000Z,user,143199,46117
2007--1-2-T00:00:00.000Z,group-bot,16944,3384
2007--1-2-T00:00:00.000Z,name-bot,50483,7976
2008--0-1-T00:00:00.000Z,anonymous,51910,3621
2008--0-1-T00:00:00.000Z,user,153171,48954
2008--0-1-T00:00:00.000Z,group-bot,15421,202
2008--0-1-T00:00:00.000Z,name-bot,45204,2885
2008--0-2-T00:00:00.000Z,anonymous,51196,3669
2008--0-2-T00:00:00.000Z,user,147471,50377
2008--0-2-T00:00:00.000Z,group-bot,14725,93
2008--0-2-T00:00:00.000Z,name-bot,49970,19606
2008--0-3-T00:00:00.000Z,anonymous,54789,3931
2008--0-3-T00:00:00.000Z,user,162883,55131
2008--0-3-T00:00:00.000Z,group-bot,14575,154
2008--0-3-T00:00:00.000Z,name-bot,71739,8697
2008--0-4-T00:00:00.000Z,anonymous,51419,4107
2008--0-4-T00:00:00.000Z,user,146893,46877
2008--0-4-T00:00:00.000Z,group-bot,14190,163
2008--0-4-T00:00:00.000Z,name-bot,69018,9143
2008--0-5-T00:00:00.000Z,anonymous,54149,4514
2008--0-5-T00:00:00.000Z,user,158320,50548
2008--0-5-T00:00:00.000Z,group-bot,17997,268
2008--0-5-T00:00:00.000Z,name-bot,81449,7724
2008--0-6-T00:00:00.000Z,anonymous,50072,4174
2008--0-6-T00:00:00.000Z,user,152207,47131
2008--0-6-T00:00:00.000Z,group-bot,11541,122
2008--0-6-T00:00:00.000Z,name-bot,75621,10022
2008--0-7-T00:00:00.000Z,anonymous,47838,3453
2008--0-7-T00:00:00.000Z,user,149361,48656
2008--0-7-T00:00:00.000Z,group-bot,11196,102
2008--0-7-T00:00:00.000Z,name-bot,56728,15499
2008--0-8-T00:00:00.000Z,anonymous,45983,3033
2008--0-8-T00:00:00.000Z,user,154101,49589
2008--0-8-T00:00:00.000Z,group-bot,7676,448
2008--0-8-T00:00:00.000Z,name-bot,74664,8071
2008--0-9-T00:00:00.000Z,anonymous,42499,3665
2008--0-9-T00:00:00.000Z,user,159281,46039
2008--0-9-T00:00:00.000Z,group-bot,8242,90
2008--0-9-T00:00:00.000Z,name-bot,60749,8858
2008--1-0-T00:00:00.000Z,anonymous,46088,3506
2008--1-0-T00:00:00.000Z,user,161640,46355
2008--1-0-T00:00:00.000Z,group-bot,7408,102
2008--1-0-T00:00:00.000Z,name-bot,67823,15697
2008--1-1-T00:00:00.000Z,anonymous,43438,3534
2008--1-1-T00:00:00.000Z,user,153344,47805
2008--1-1-T00:00:00.000Z,group-bot,8715,266
2008--1-1-T00:00:00.000Z,name-bot,48976,11258
2008--1-2-T00:00:00.000Z,anonymous,41158,3442
2008--1-2-T00:00:00.000Z,user,146324,52810
2008--1-2-T00:00:00.000Z,group-bot,15247,1714
2008--1-2-T00:00:00.000Z,name-bot,49107,6785
2009--0-1-T00:00:00.000Z,anonymous,45327,3928
2009--0-1-T00:00:00.000Z,user,175586,59721
2009--0-1-T00:00:00.000Z,group-bot,14552,2918
2009--0-1-T00:00:00.000Z,name-bot,65633,5306
2009--0-2-T00:00:00.000Z,anonymous,37947,3215
2009--0-2-T00:00:00.000Z,user,164506,55482
2009--0-2-T00:00:00.000Z,group-bot,19423,2585
2009--0-2-T00:00:00.000Z,name-bot,46711,7410
2009--0-3-T00:00:00.000Z,anonymous,40982,3080
2009--0-3-T00:00:00.000Z,user,169598,48794
2009--0-3-T00:00:00.000Z,group-bot,25315,3553
2009--0-3-T00:00:00.000Z,name-bot,48752,7932
2009--0-4-T00:00:00.000Z,anonymous,36195,2992
2009--0-4-T00:00:00.000Z,user,152316,50708
2009--0-4-T00:00:00.000Z,group-bot,10198,966
2009--0-4-T00:00:00.000Z,name-bot,55234,8713
2009--0-5-T00:00:00.000Z,anonymous,38068,3379
2009--0-5-T00:00:00.000Z,user,154433,47690
2009--0-5-T00:00:00.000Z,group-bot,7515,1457
2009--0-5-T00:00:00.000Z,name-bot,78342,11546
2009--0-6-T00:00:00.000Z,anonymous,35729,2970
2009--0-6-T00:00:00.000Z,user,150244,47285
2009--0-6-T00:00:00.000Z,group-bot,11857,808
2009--0-6-T00:00:00.000Z,name-bot,62036,8835
2009--0-7-T00:00:00.000Z,anonymous,33169,2531
2009--0-7-T00:00:00.000Z,user,158362,51011
2009--0-7-T00:00:00.000Z,group-bot,13692,519
2009--0-7-T00:00:00.000Z,name-bot,72808,6301
2009--0-8-T00:00:00.000Z,anonymous,34592,2787
2009--0-8-T00:00:00.000Z,user,159788,47656
2009--0-8-T00:00:00.000Z,group-bot,10332,833
2009--0-8-T00:00:00.000Z,name-bot,55600,8459
2009--0-9-T00:00:00.000Z,anonymous,33666,2850
2009--0-9-T00:00:00.000Z,user,152858,40866
